name,email,password,card,purchase,id
wadwadad,awdadawd,adasdadw,adwaasd,3,3
name,email,password,card,purchase,id
rascsad,sadadva,fafvafv,vfavasdv,1,1
name,email,password,card,purchase,id
usdvchdvua,fdavafvvf,vfafdvavf,avavfafdva,3,3
name,email,password,card,purchase,id
csdcsdc,sdavasdvsdv,dvavsasvasd,vsdvasdv,5,5
asdjviafjdv,sdvbahsbdvi,sdccbasdbvh,dshvh,7,7
jaosdvbvasd,dv,asdv,asdv,8,8
rasul,rasulaka,123qwe,3214 3214 1324 1324 ,9,9
123,dsfs,sdf,dsf,10,10
кфыгд,цййцу,уцайуа,фыва,11,11
1233,кууу132,ук,23412143,12,12
