name,email,password,card code,card balance
Rasul,rasul@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,abdi@gmail.com,123423easd,1234123412341234,120
Rasul,bexruz@gmail.com,123423easd,1234123412341234,120
Rasul,bexruz@gmail.com,123423easd,1234123412341234,120
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,bexa@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,r@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,r@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,r@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,r@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,s@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,javohir@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,rasulaka@gmail.com,1234567876ioh,1234567812345678,1000
Bexa,saidbek@gmail.com,1234567876ioh,1234567812345678,1000
rasulala,rasulala@gmail.com,qwer12342rss,1234567834561245,1200
rasulaka,rasulabdi@gmail.com,123rasulakarw,1234123413241234,2134
johir,javohirdiamond@gmail.com,javojiraka,8600010432456732,3020
